app,developer,date reached,date published,category,pre-ins
Huawei Backup,Huawei Internet Services,5/1/2020,unknown date,copy data,yes
YouTube Go,Google,7/1/2020,2017-02-??,download videos,no
Huawei Mobile Services,Huawei Internet Services,7/16/2020,unknown date,tools,yes
Wish,Wish Inc.,8/14/2020,2011-05-??,shopping,no
ShareMe,Xiaomi Inc.,8/15/2020,unknown date,file sharing,yes
HiCare,Xiaomi Inc.,9/1/2020,unknown date,tools,no
Google Contacts,Google,9/12/2020,unknown date,contacts,no
Shazam,"Apple, Inc.",9/12/2020,2008-??-??,discover songs & lyrics,no
File Manager by Xiaomi,Xiaomi Inc.,9/13/2020,unknown date,file manager,yes
Huawei Themes,"Huawei Technologies Co., Ltd.",9/13/2020,unknown date,themes,no
Mi Music,Xiaomi MIUI,10/1/2020,unknown date,music,yes
Pinterest,Pinterest,10/1/2020,2009-12-??,social media,no
Xiaomi Calculator,Xiaomi Inc.,10/1/2020,unknown date,calculator,yes
Opera Mini,Opera,11/1/2020,2009-12-??,web browser,no
SmartThings,Samsung,11/15/2020,unknown date,lifestyle,no
ZOOM,zoom.us,12/1/2020,9/10/2012,communication,no
Smart diagnosis,Huawei Internet Service,12/19/2020,unknown date,tools,no
Weather - By Xiaomi,Xiaomi Inc.,12/20/2020,unknown date,weather,yes
Ludo King,Gametion Technologies Pvt Ltd,12/20/2020,2/20/2016,games & board,no
Google Lens,Google,2/1/2021,10/4/2017,tools,no
Ultra data saving,Samsung R&D Institute India Noida,3/1/2021,unknown date,tools,yes
Hotstar/Disney+ Hotstar,Novi Digital,3/15/2021,2/11/2015,media streaming,no
Google Go,Google,3/16/2021,unknown date,fast search tool,no
Samsung Always On Display,Samsung,4/2/2021,unknown date,tools,no
Galaxy Wearable,Samsung,4/2/2021,unknown date,tools,no
Sniper 3D,Fun Games For Free,4/17/2021,unknown date,"games, action & shooter",no
Phone Clone,Huawei Internet Services,5/16/2021,unknown date,data migration tool,no
Google Assistant Go,Google,6/1/2021,unknown date,tools,yes
PUBG MOBILE,PROXIMA BETA,6/1/2021,3/19/2018,"games, action & shooter",no
App Vault,Xiaomi Inc.,6/3/2021,unknown date,app access tool,yes
Microsoft Outlook,Microsoft,6/3/2021,2015-??-??,e-mail,no
Google Pay,Google,9/24/2021,8/17/2017,finance,no
