app,developer,date reached,date published,category,pre-ins
Google Drive,Google,1/1/2020,4/27/2011,cloud storage,yes
WhatsApp Messenger,Meta,1/20/2020,8/18/2010,communication,no
Google TV,Google,6/14/2020,6/3/2011,video player,yes
Google Photos,Google,12/19/2020,5/28/2015,photo/video manager,yes
Facebook Messenger,Meta,5/15/2021,1/30/2014,communication,no
Google Hangouts,Google,6/3/2021,5/15/2013,communication,yes
Google Currents,Google,12/27/2014,6/28/2011,social media,yes
Google Play Books,Google,6/1/2015,12/6/2010,books & reference,yes
Google Play Games,Google,8/17/2015,7/24/2013,games,yes
Google News,Google,9/20/2015,6/27/2012,news & magazines,no
MX Player,MX Media & Entertainment,10/1/2021,6/18/2011,video player,no
Samsung Push Service,Samsung,4/9/2016,3/29/2013,communication,yes
Instagram,Meta,8/16/2016,4/3/2012,social media,yes
Android System WebView,Google,4/1/2017,3/10/2015,tools,yes
Google Street View,Google,6/23/2017,9/9/2010,travel & local,yes
Skype,Microsoft,11/2/2017,10/4/2010,communication,yes
Subway Surfers,Kiloo,4/1/2018,9/20/2012,games & arcade,no
Gboard,Google,9/1/2018,1/26/2015,keyboard,yes
Facebook Lite,Meta,12/16/2018,1/28/2015,social media,no
Google Duo,Google,12/22/2018,8/16/2016,communication,yes
Google Cloud Print,Google,2/1/2019,6/12/2013,printing,yes
Samsung Print Service Plugin,HP Inc.,2/2/2019,11/5/2013,printing,yes
Samsung Internet Browser,Samsung,2/16/2019,8/24/2015,web browser,yes
SHAREit - Transfer & Share,Smart Media4U Technology Pte. Ltd.,4/1/2019,4/28/2013,tools,no
Google Calendar,Google,5/18/2019,10/17/2012,calendar & organiser,yes
Snapchat,Snap Inc.,7/18/2019,10/29/2012,"photo/video editor, social media & mapping",no
Microsoft Word,Microsoft,7/14/2019,1/6/2015,word processor,yes
Microsoft OneDrive,Microsoft,9/15/2019,8/28/2012,cloud storage,no
Samsung My Files,Samsung,10/2/2019,6/21/2017,file manager,yes
Samsung Gallery,Samsung,10/15/2019,8/15/2017,photo/video manager,yes
Microsoft PowerPoint,Microsoft,10/16/2019,1/6/2015,presentations,no
Microsoft Excel,Microsoft,10/18/2019,1/6/2015,spreadsheet,no
Samsung One UI Home,Samsung,11/2/2019,1/14/2012,personalization,yes
Samsung Email,Samsung,11/15/2019,1/15/2017,e-mail,yes
Samsung Voice Recorder,Samsung,1/1/2020,3/24/2016,audio recorder,yes
Device Care,Samsung,1/16/2020,6/1/2017,tools,yes
Samsung Members,Samsung,1/16/2020,unknown date,tools,yes
ANT+ Plugins Service,ANT+,2/1/2020,5/10/2013,health & fitness,no
Samsung Health,Samsung,2/9/2020,4/7/2015,health & fitness,yes
ANT Radio Service,ANT+,2/21/2020,11/5/2010,communication,no
Samsung Calculator,Samsung,2/21/2020,2/8/2017,calculator,yes
Candy Crush Saga,King,4/1/2020,11/15/2012,games,no
TikTok,ByteDance,4/11/2020,7/9/2015,video editor & social media,no
Messages (Google),Google,5/1/2020,11/12/2014,communication,yes
Flipboard Briefing,Flipboard,5/11/2020,5/13/2015,news & magazines,no
Samsung Experience Service,Samsung,6/1/2020,6/14/2018,personalization,yes
Twitter,"Twitter, Inc.",7/16/2020,4/30/2010,social media,no
Carrier Services,Google,8/2/2020,3/13/2017,communication,no
Netflix,"Netflix, Inc",8/2/2020,1/6/2016,media streaming,yes
Secure Folder,Samsung,8/2/2020,1/9/2017,business,yes
Dropbox,"Dropbox, Inc.",9/2/2020,5/4/2010,cloud storage,no
Android Auto,Google,11/1/2020,3/19/2015,app manager for automobile,no
Google Docs,Google,11/1/2020,4/30/2014,word processor,no
Google Play Services for AR,Google,12/19/2020,12/11/2017,tools,yes
Phone by Google,Google,12/19/2020,unknown date,tools,no
